$20 = e0000000
$ 1 = 00000001
$ 1 = 000000b0
$ 1 = 00000002
$ 1 = 00000002
$19 = 00000001
$30 = fffffe3c
$27 = fffffe3c
$ 8 = 00000001
$30 = ffffff98
$ 8 = 00000001
$ 2 = 000f4000
$ 2 = 000f4240
$ 7 = ffffffff
$ 2 = 000f423f
$ 7 = ffffffff
$ 2 = 000f423e
$ 7 = ffffffff
$ 2 = 000f423d
$ 7 = ffffffff
$ 2 = 000f423c
$ 7 = ffffffff
$ 2 = 000f423b
$ 7 = ffffffff
$ 2 = 000f423a
$ 7 = ffffffff
$ 2 = 000f4239
$ 7 = ffffffff
$ 2 = 000f4238
$ 7 = ffffffff
$ 2 = 000f4237
$ 7 = ffffffff
$ 2 = 000f4236
$ 7 = ffffffff
$ 2 = 000f4235
$ 7 = ffffffff
$ 2 = 000f4234
$ 7 = ffffffff
$ 2 = 000f4233
$ 7 = ffffffff
$ 2 = 000f4232
$ 7 = ffffffff
$ 2 = 000f4231
$ 7 = ffffffff
$ 2 = 000f4230
$ 7 = ffffffff
$ 2 = 000f422f
$ 7 = ffffffff
$ 2 = 000f422e
$ 7 = ffffffff
$ 2 = 000f422d
$ 7 = ffffffff
$ 2 = 000f422c
$ 7 = ffffffff
$ 2 = 000f422b
$ 7 = ffffffff
$ 2 = 000f422a
$ 7 = ffffffff
$ 2 = 000f4229
$ 7 = ffffffff
$ 2 = 000f4228
$ 7 = ffffffff
$ 2 = 000f4227
$ 7 = ffffffff
$ 2 = 000f4226
$ 7 = ffffffff
$ 2 = 000f4225
$ 7 = ffffffff
$ 2 = 000f4224
$ 7 = ffffffff
$ 2 = 000f4223
$ 7 = ffffffff
$ 2 = 000f4222
$ 7 = ffffffff
$ 2 = 000f4221
$ 7 = ffffffff
$ 2 = 000f4220
$ 7 = ffffffff
$ 2 = 000f421f
$ 7 = ffffffff
$ 2 = 000f421e
$ 7 = ffffffff
$ 2 = 000f421d
$ 7 = ffffffff
$ 2 = 000f421c
$ 7 = ffffffff
$ 2 = 000f421b
$ 7 = ffffffff
$ 2 = 000f421a
$ 7 = ffffffff
$ 2 = 000f4219
$ 7 = ffffffff
$ 2 = 000f4218
$ 7 = ffffffff
